StaffID,StoreID,FirstName,LastName,Role
STAFF00127,STORE073,Ralph,Parker,Stocker
STAFF00128,STORE035,Alexander,Perez,Manager
STAFF00129,STORE041,Robin,Sutton,Sales
STAFF00130,STORE055,Mark,Copeland,Sales
STAFF00131,STORE045,Tony,Davidson,Cashier
STAFF00132,STORE016,Erik,Ortiz,Sales
STAFF00133,STORE048,David,Garcia,Sales
STAFF00134,STORE015,Tony,Jones,Sales
STAFF00135,STORE036,Tiffany,Combs,Stocker
STAFF00136,STORE038,James,Orozco,Sales
STAFF00137,STORE060,Phillip,Bryant,Cashier
STAFF00138,STORE050,Brittany,Garcia,Sales
STAFF00139,STORE038,Kristin,Nelson,Cashier
STAFF00140,STORE025,Matthew,Grant,Sales
STAFF00141,STORE070,Pamela,Harris,Manager
STAFF00142,STORE002,Shannon,Mccall,Cashier
STAFF00143,STORE033,Tara,Pierce,Manager
STAFF00144,STORE050,Steven,Williams,Manager
STAFF00145,STORE080,Priscilla,Suarez,Sales
STAFF00146,STORE025,Belinda,Davis,Cashier
STAFF00147,STORE012,Nicholas,Johnson,Sales
STAFF00148,STORE023,Jared,Mcneil,Manager
STAFF00149,STORE055,Monique,Anderson,Cashier
STAFF00150,STORE001,Nicole,Hernandez,Manager
STAFF00151,STORE010,Christopher,Gonzalez,Cashier
STAFF00152,STORE048,Ryan,Gibson,Manager
STAFF00153,STORE080,Toni,Thomas,Stocker
STAFF00154,STORE029,Seth,Jordan,Stocker
STAFF00155,STORE017,Tracy,Graham,Cashier
STAFF00156,STORE016,Luis,Davis,Cashier
STAFF00157,STORE075,Kevin,Hanna,Manager
STAFF00158,STORE065,Andrew,Ruiz,Sales
STAFF00159,STORE018,Adam,Parsons,Sales
STAFF00160,STORE017,Susan,Saunders,Cashier
STAFF00161,STORE053,Scott,Grant,Manager
STAFF00162,STORE028,Jeanne,Flores,Sales
STAFF00163,STORE007,Crystal,Lopez,Sales
STAFF00164,STORE061,Juan,Alexander,Manager
STAFF00165,STORE057,Courtney,Ramirez,Manager
STAFF00166,STORE012,Andrew,Garcia,Stocker
STAFF00167,STORE056,Zachary,Fritz,Stocker
STAFF00168,STORE037,Nathan,Murphy,Manager
STAFF00169,STORE037,Joseph,Hill,Stocker
STAFF00170,STORE066,Ann,Stephens,Sales
STAFF00171,STORE036,Christopher,Rodriguez,Stocker
STAFF00172,STORE072,Carlos,Wiley,Cashier
STAFF00173,STORE076,Ashley,Levy,Stocker
STAFF00174,STORE073,Eric,Perry,Manager
STAFF00175,STORE077,Anna,West,Stocker
STAFF00176,STORE074,Daniel,Pierce,Stocker
STAFF00177,STORE031,Alexis,Navarro,Manager
STAFF00178,STORE033,Justin,Underwood,Stocker
STAFF00179,STORE051,Susan,Johnson,Manager
STAFF00180,STORE074,Lisa,Hansen,Cashier
STAFF00181,STORE029,Gina,Powell,Manager
STAFF00182,STORE076,Kara,Davis,Sales
STAFF00183,STORE052,Joseph,Reynolds,Sales
STAFF00184,STORE023,Brittney,Bennett,Sales
STAFF00185,STORE015,Jessica,Nelson,Manager
STAFF00186,STORE059,Crystal,Mendoza,Manager
STAFF00187,STORE033,Christopher,Hutchinson,Cashier
STAFF00188,STORE012,Brittany,Hernandez,Sales
STAFF00189,STORE014,Jason,Gonzales,Manager
STAFF00190,STORE035,Kimberly,Anderson,Sales
STAFF00191,STORE055,Sandra,Richardson,Cashier
STAFF00192,STORE036,Laura,Wright,Cashier
STAFF00193,STORE005,Jason,Baldwin,Sales
STAFF00194,STORE049,Luis,Wilson,Sales
STAFF00195,STORE019,Edwin,Martinez,Sales
STAFF00196,STORE059,Melissa,Jones,Cashier
STAFF00197,STORE037,Roy,Brown,Sales
STAFF00198,STORE018,Sherry,Walter,Cashier
STAFF00199,STORE041,Phillip,Reyes,Stocker
STAFF00200,STORE037,Manuel,Hernandez,Sales
STAFF00201,STORE056,Brandon,Clark,Sales
STAFF00202,STORE001,Bruce,Mcintyre,Sales
STAFF00203,STORE067,Jennifer,Barber,Cashier
STAFF00204,STORE069,Shari,Wu,Sales
STAFF00205,STORE020,Brad,Morales,Manager
STAFF00206,STORE071,Lisa,Barnes,Sales
STAFF00207,STORE047,Heather,Walton,Manager
STAFF00208,STORE019,Sarah,Cook,Manager
STAFF00209,STORE028,Robert,Moore,Manager
STAFF00210,STORE036,Nicolas,Wood,Sales
STAFF00211,STORE059,Misty,Jones,Sales
STAFF00212,STORE024,James,Adams,Stocker
STAFF00213,STORE037,Alyssa,Douglas,Sales
STAFF00214,STORE030,James,House,Stocker
STAFF00215,STORE049,Brenda,Neal,Manager
STAFF00216,STORE065,Melissa,Brown,Stocker
STAFF00217,STORE073,Kelly,Cook,Manager
STAFF00218,STORE025,Megan,Jones,Sales
STAFF00219,STORE068,Julie,Berry,Sales
STAFF00220,STORE022,Jennifer,Wilson,Stocker
STAFF00221,STORE015,Derrick,Hartman,Sales
STAFF00222,STORE061,Michael,Wolf,Sales
STAFF00223,STORE045,Victoria,Cruz,Cashier
STAFF00224,STORE073,Travis,Watson,Cashier
STAFF00225,STORE041,John,Padilla,Cashier
STAFF00226,STORE064,Parker,Avila,Manager
STAFF00227,STORE020,John,Hess,Manager
STAFF00228,STORE017,John,Cervantes,Sales
STAFF00229,STORE079,John,Ball,Stocker
STAFF00230,STORE018,Randy,Hayes,Stocker
STAFF00231,STORE060,Jesse,Arias,Sales
STAFF00232,STORE078,Brian,Neal,Manager
STAFF00233,STORE004,Mark,Meadows,Sales
STAFF00234,STORE027,Dustin,Dudley,Cashier
STAFF00235,STORE059,Ryan,Adams,Sales
STAFF00236,STORE070,David,Wood,Manager
STAFF00237,STORE024,Heather,Salas,Sales
STAFF00238,STORE040,Tiffany,Pugh,Manager
STAFF00239,STORE028,Erin,Nelson,Sales
STAFF00240,STORE074,Travis,Decker,Stocker
STAFF00241,STORE022,Matthew,Singleton,Sales
STAFF00242,STORE062,Tyler,Johnson,Sales
STAFF00243,STORE005,Rita,Humphrey,Stocker
STAFF00244,STORE067,Douglas,Harris,Manager
STAFF00245,STORE064,Karen,Hays,Manager
STAFF00246,STORE060,Nicole,Arnold,Stocker
STAFF00247,STORE042,Stacy,Choi,Manager
STAFF00248,STORE069,Michelle,Henderson,Manager
STAFF00249,STORE078,Eric,Fowler,Stocker
STAFF00250,STORE079,Christopher,Gray,Cashier
STAFF00251,STORE017,Brent,Yates,Sales
STAFF00252,STORE079,Elizabeth,Murphy,Manager
STAFF00253,STORE016,Tamara,Barnett,Manager
STAFF00254,STORE013,Wendy,Thomas,Manager
STAFF00255,STORE071,Jerry,Mullins,Stocker
STAFF00256,STORE006,Hannah,Wilson,Cashier
STAFF00257,STORE032,Roberto,Shaw,Cashier
STAFF00258,STORE076,Harold,Williams,Sales
STAFF00259,STORE050,Bianca,Hendrix,Stocker
STAFF00260,STORE063,Kimberly,Harrison,Cashier
STAFF00261,STORE057,Joseph,Sandoval,Stocker
STAFF00262,STORE076,Jennifer,Wise,Stocker
STAFF00263,STORE008,Hector,Marsh,Manager
STAFF00264,STORE069,Elizabeth,Koch,Sales
STAFF00265,STORE040,Julie,Sanford,Cashier
STAFF00266,STORE048,Bethany,White,Cashier
STAFF00267,STORE033,Lori,Mcneil,Stocker
STAFF00268,STORE034,Natalie,Mills,Manager
STAFF00269,STORE032,Curtis,Carter,Cashier
STAFF00270,STORE080,James,Beasley,Sales
STAFF00271,STORE007,Lisa,Fritz,Sales
STAFF00272,STORE013,Shawn,Padilla,Cashier
STAFF00273,STORE039,Danielle,Proctor,Sales
STAFF00274,STORE073,Andrew,Thomas,Sales
STAFF00275,STORE035,Tiffany,Phillips,Sales
STAFF00276,STORE023,Holly,Martinez,Cashier
STAFF00277,STORE040,Jeremy,Weber,Cashier
STAFF00278,STORE054,Haley,Long,Cashier
STAFF00279,STORE030,Ryan,Fischer,Cashier
STAFF00280,STORE075,Donna,Watson,Cashier
STAFF00281,STORE002,Ashlee,Caldwell,Sales
STAFF00282,STORE073,Samuel,May,Cashier
STAFF00283,STORE007,Joshua,Lewis,Manager
STAFF00284,STORE013,Joshua,Fisher,Manager
STAFF00285,STORE032,Carla,Wilson,Stocker
STAFF00286,STORE006,Wesley,Erickson,Manager
STAFF00287,STORE028,Pamela,Williams,Manager
STAFF00288,STORE007,John,Brown,Stocker
STAFF00289,STORE023,Elizabeth,Allen,Stocker
STAFF00290,STORE057,Shawn,Collins,Sales
STAFF00291,STORE032,Kristen,Clark,Sales
STAFF00292,STORE037,Dawn,Salazar,Sales
STAFF00293,STORE051,Russell,Moore,Sales
STAFF00294,STORE029,Melissa,Gonzalez,Manager
STAFF00295,STORE043,Crystal,Arroyo,Manager
STAFF00296,STORE005,Joshua,Patel,Sales
STAFF00297,STORE001,Jerome,Villegas,Stocker
STAFF00298,STORE007,Michael,Walters,Sales
STAFF00299,STORE036,Michael,Burke,Stocker
STAFF00300,STORE038,Jennifer,Schaefer,Stocker
STAFF00301,STORE022,Elizabeth,Kemp,Sales
STAFF00302,STORE023,Justin,Ramos,Cashier
STAFF00303,STORE050,Joseph,Gonzalez,Manager
STAFF00304,STORE022,Joe,Weber,Manager
STAFF00305,STORE055,Scott,Smith,Cashier
STAFF00306,STORE007,James,Clark,Stocker
STAFF00307,STORE067,Dave,Andrews,Manager
STAFF00308,STORE049,Rebecca,Ortega,Stocker
STAFF00309,STORE001,Michelle,Romero,Manager
STAFF00310,STORE076,Kayla,Castillo,Manager
STAFF00311,STORE016,Carrie,Lewis,Stocker
STAFF00312,STORE043,Joshua,Lindsey,Sales
STAFF00313,STORE029,Sara,Rice,Manager
STAFF00314,STORE042,Lauren,Hahn,Manager
STAFF00315,STORE065,Veronica,Barber,Stocker
STAFF00316,STORE046,Robert,Lamb,Cashier
STAFF00317,STORE004,Joseph,Williams,Sales
STAFF00318,STORE071,Kelly,Powell,Cashier
STAFF00319,STORE079,Lance,Knight,Manager
STAFF00320,STORE036,Daniel,Ryan,Sales
STAFF00321,STORE050,Tiffany,Porter,Cashier
STAFF00322,STORE061,Matthew,Hunter,Cashier
STAFF00323,STORE015,Timothy,Brooks,Cashier
STAFF00324,STORE042,Michael,Webb,Manager
STAFF00325,STORE049,Natasha,Hall,Stocker
STAFF00326,STORE024,John,Griffin,Cashier
STAFF00327,STORE009,Ian,Harris,Stocker
STAFF00328,STORE060,Stephen,Yu,Stocker
STAFF00329,STORE036,Ashley,Wolfe,Stocker
STAFF00330,STORE002,Sharon,Daniels,Stocker
STAFF00331,STORE071,Jessica,Jones,Sales
STAFF00332,STORE060,Diana,Taylor,Sales
STAFF00333,STORE071,Michelle,Byrd,Cashier
STAFF00334,STORE070,Sarah,Waters,Cashier
STAFF00335,STORE075,Justin,Floyd,Cashier
STAFF00336,STORE014,Christopher,Marshall,Manager
STAFF00337,STORE013,Matthew,Wilson,Sales
STAFF00338,STORE011,Sean,Schmidt,Manager
STAFF00339,STORE041,Nathan,Harvey,Stocker
STAFF00340,STORE015,Randy,Frazier,Cashier
STAFF00341,STORE041,Janet,Hernandez,Stocker
STAFF00342,STORE015,Michael,Boyd,Stocker
STAFF00343,STORE077,Stephanie,Reynolds,Cashier
STAFF00344,STORE016,Maria,Allen,Sales
STAFF00345,STORE049,Matthew,Stewart,Stocker
STAFF00346,STORE002,Stephanie,Mullins,Sales
STAFF00347,STORE043,Michael,Wilson,Sales
STAFF00348,STORE047,David,Ward,Manager
STAFF00349,STORE045,Allison,Riley,Manager
STAFF00350,STORE057,Claire,Wilkinson,Stocker
STAFF00351,STORE020,Marvin,Moody,Manager
STAFF00352,STORE078,Robert,Bryant,Stocker
STAFF00353,STORE007,Cynthia,Strong,Cashier
STAFF00354,STORE067,Brittany,Burns,Stocker
STAFF00355,STORE073,Andres,Russell,Stocker
STAFF00356,STORE047,Melissa,Fleming,Sales
STAFF00357,STORE060,Tara,Robinson,Manager
STAFF00358,STORE061,Veronica,Romero,Sales
STAFF00359,STORE066,Megan,Chapman,Stocker
STAFF00360,STORE012,Thomas,Hanna,Cashier
STAFF00361,STORE025,Kelly,Jones,Stocker
STAFF00362,STORE016,Joyce,Munoz,Cashier
STAFF00363,STORE079,Daniel,Beltran,Cashier
STAFF00364,STORE078,Brian,Hayden,Stocker
STAFF00365,STORE069,Nichole,Frank,Manager
STAFF00366,STORE062,Leslie,Anderson,Sales
STAFF00367,STORE075,Kimberly,Skinner,Sales
STAFF00368,STORE014,Diana,Poole,Stocker
STAFF00369,STORE059,Samuel,Garcia,Sales
STAFF00370,STORE072,Shannon,Cooper,Sales
STAFF00371,STORE036,Mark,Flores,Stocker
STAFF00372,STORE007,Anthony,Orozco,Stocker
STAFF00373,STORE030,Brenda,Rosales,Manager
STAFF00374,STORE072,Stacy,Rios,Manager
STAFF00375,STORE080,Pedro,Trujillo,Stocker
STAFF00376,STORE024,Ricky,Smith,Cashier
STAFF00377,STORE044,Dorothy,Davis,Stocker
STAFF00378,STORE077,Wanda,Wiley,Sales
STAFF00379,STORE069,Amanda,Singleton,Stocker
STAFF00380,STORE018,James,Drake,Stocker
STAFF00381,STORE021,Kristy,Thomas,Manager
STAFF00382,STORE035,Michelle,Guerrero,Cashier
STAFF00383,STORE027,Danielle,Hicks,Stocker
STAFF00384,STORE007,Casey,Rivera,Cashier
STAFF00385,STORE062,Christine,Watkins,Cashier
STAFF00386,STORE035,Mary,Brown,Manager
STAFF00387,STORE026,Donald,Miller,Cashier
STAFF00388,STORE067,Lisa,Palmer,Sales
STAFF00389,STORE047,Jill,Thomas,Sales
STAFF00390,STORE076,Andrea,Miller,Stocker
STAFF00391,STORE077,Tonya,Williams,Manager
STAFF00392,STORE003,Theodore,Everett,Sales
STAFF00393,STORE012,Colin,Smith,Stocker
STAFF00394,STORE072,Susan,Taylor,Stocker
STAFF00395,STORE080,Cody,Jensen,Stocker
STAFF00396,STORE015,James,Wilson,Sales
STAFF00397,STORE048,Kenneth,Rogers,Stocker
STAFF00398,STORE058,Erin,Garcia,Cashier
STAFF00399,STORE011,James,Graham,Stocker
STAFF00400,STORE057,Ashley,Williams,Cashier
STAFF00401,STORE061,Andrea,Barton,Stocker
STAFF00402,STORE044,Heidi,Cruz,Stocker
STAFF00403,STORE040,Sharon,Morrison,Cashier
STAFF00404,STORE058,James,Becker,Manager
STAFF00405,STORE074,Zachary,Atkins,Sales
STAFF00406,STORE029,Nicholas,Oliver,Sales
STAFF00407,STORE045,Tiffany,Gibson,Stocker
STAFF00408,STORE030,Christopher,Bass,Manager
STAFF00409,STORE056,Stacey,Franklin,Manager
STAFF00410,STORE038,Mitchell,Berger,Cashier
STAFF00411,STORE019,Anthony,Mccall,Stocker
STAFF00412,STORE072,Dana,Hebert,Cashier
STAFF00413,STORE002,Victor,Green,Sales
STAFF00414,STORE002,Michael,Flowers,Stocker
STAFF00415,STORE053,Kimberly,Harris,Manager
STAFF00416,STORE009,Regina,Snyder,Cashier
STAFF00417,STORE077,Michael,Garner,Cashier
STAFF00418,STORE020,Christina,Combs,Manager
STAFF00419,STORE075,Ronald,Hernandez,Stocker
STAFF00420,STORE043,Jennifer,Ortiz,Cashier
STAFF00421,STORE040,Brian,Roberts,Stocker
STAFF00422,STORE011,Richard,Flores,Stocker
STAFF00423,STORE035,Jasmine,Burke,Manager
STAFF00424,STORE041,Amy,Williams,Stocker
STAFF00425,STORE049,Janet,Scott,Stocker
STAFF00426,STORE012,Denise,Robinson,Stocker
STAFF00427,STORE022,Annette,Edwards,Sales
STAFF00428,STORE023,Nichole,Bennett,Sales
STAFF00429,STORE049,Brian,James,Manager
STAFF00430,STORE036,Jennifer,Vance,Cashier
STAFF00431,STORE012,Lindsay,Martinez,Sales
STAFF00432,STORE062,William,Smith,Stocker
STAFF00433,STORE042,Sherri,Hoover,Cashier
STAFF00434,STORE070,Katie,Brown,Sales
STAFF00435,STORE021,Sara,Gutierrez,Sales
STAFF00436,STORE006,Alan,Cross,Stocker
STAFF00437,STORE038,Melinda,Jones,Stocker
STAFF00438,STORE054,Thomas,Guzman,Stocker
STAFF00439,STORE077,Pamela,Richardson,Cashier
STAFF00440,STORE046,Charles,Jones,Sales
STAFF00441,STORE040,Anthony,Douglas,Stocker
STAFF00442,STORE035,David,Riley,Cashier
STAFF00443,STORE031,Joshua,Gutierrez,Stocker
STAFF00444,STORE010,Carol,Hernandez,Stocker
STAFF00445,STORE026,Francis,Hall,Sales
STAFF00446,STORE038,Richard,Sanchez,Cashier
STAFF00447,STORE054,Zachary,Baxter,Stocker
STAFF00448,STORE037,Brenda,Robertson,Stocker
STAFF00449,STORE074,David,Harris,Cashier
STAFF00450,STORE021,Anthony,Stevens,Manager
STAFF00451,STORE062,Julie,Richardson,Manager
STAFF00452,STORE074,Valerie,Molina,Cashier
STAFF00453,STORE041,Brandy,Brown,Stocker
STAFF00454,STORE077,Gloria,Tate,Stocker
STAFF00455,STORE034,Gordon,Carroll,Sales
STAFF00456,STORE028,Jessica,Nelson,Stocker
STAFF00457,STORE004,Cynthia,Mckinney,Sales
STAFF00458,STORE056,Neil,Watson,Sales
STAFF00459,STORE077,Richard,Davis,Sales
STAFF00460,STORE007,Laura,Mccarthy,Manager
STAFF00461,STORE068,Judy,Huff,Manager
STAFF00462,STORE020,Catherine,Mathews,Sales
STAFF00463,STORE077,Cory,Stark,Manager
STAFF00464,STORE073,Mark,Ochoa,Sales
STAFF00465,STORE024,Denise,Adams,Stocker
STAFF00466,STORE016,Sonya,Mckenzie,Manager
STAFF00467,STORE009,Ryan,Martin,Stocker
STAFF00468,STORE009,Monica,Preston,Sales
STAFF00469,STORE064,Peter,Maxwell,Manager
STAFF00470,STORE043,Natalie,Salinas,Cashier
STAFF00471,STORE026,Kim,Wilcox,Cashier
STAFF00472,STORE040,Miguel,Davis,Manager
STAFF00473,STORE017,Brian,Davis,Stocker
STAFF00474,STORE075,James,Ward,Stocker
STAFF00475,STORE011,Dale,Hunt,Stocker
STAFF00476,STORE076,Tracy,Webster,Sales
STAFF00477,STORE030,Sarah,Parsons,Sales
STAFF00478,STORE040,Daniel,Massey,Cashier
STAFF00479,STORE012,Jeremy,Simmons,Manager
STAFF00480,STORE065,Michelle,Lyons,Manager
STAFF00481,STORE014,Jessica,Elliott,Cashier
STAFF00482,STORE045,Timothy,Torres,Manager
STAFF00483,STORE030,Angela,Rivera,Sales
STAFF00484,STORE012,Candice,Blake,Stocker
STAFF00485,STORE011,Mariah,Turner,Sales
STAFF00486,STORE006,Leah,Gomez,Sales
STAFF00487,STORE064,Mary,Townsend,Manager
STAFF00488,STORE079,Rodney,Williams,Manager
STAFF00489,STORE071,Jared,Lee,Sales
STAFF00490,STORE077,Ebony,Pittman,Manager
STAFF00491,STORE039,Jessica,Montgomery,Stocker
STAFF00492,STORE044,Joshua,Young,Cashier
STAFF00493,STORE027,Raymond,Thornton,Stocker
STAFF00494,STORE079,Pamela,Duke,Sales
STAFF00495,STORE037,Frank,Ellis,Cashier
STAFF00496,STORE077,Kiara,Bell,Cashier
STAFF00497,STORE058,Anthony,Lin,Sales
STAFF00498,STORE061,Julie,Mercer,Stocker
STAFF00499,STORE071,Robert,Foster,Cashier
STAFF00500,STORE033,Darren,Turner,Sales
STAFF00501,STORE036,Anthony,Scott,Sales
STAFF00502,STORE036,Sheila,Miller,Sales
STAFF00503,STORE035,Christopher,Smith,Cashier
STAFF00504,STORE074,Linda,Hill,Sales
STAFF00505,STORE070,Christopher,Gonzales,Stocker
STAFF00506,STORE014,Carol,Smith,Stocker
STAFF00507,STORE072,Jessica,Morris,Sales
STAFF00508,STORE006,Phillip,Miller,Sales
STAFF00509,STORE016,Mark,Johnson,Sales
STAFF00510,STORE026,Heather,Wiggins,Cashier
STAFF00511,STORE006,Jacqueline,Allen,Stocker
STAFF00512,STORE053,Connie,Kennedy,Stocker
STAFF00513,STORE036,Jimmy,Sanchez,Stocker
STAFF00514,STORE051,Eric,Oconnor,Manager
STAFF00515,STORE010,Cheryl,Huerta,Stocker
STAFF00516,STORE012,Toni,Mahoney,Manager
STAFF00517,STORE007,Anna,Cruz,Stocker
STAFF00518,STORE041,Dean,Harrington,Sales
STAFF00519,STORE024,Kathleen,Knight,Stocker
STAFF00520,STORE037,Wendy,Brown,Cashier
STAFF00521,STORE035,Keith,Hawkins,Manager
STAFF00522,STORE039,Michael,Bird,Cashier
STAFF00523,STORE050,Jonathan,Cross,Manager
STAFF00524,STORE071,Gabrielle,Rodriguez,Manager
STAFF00525,STORE008,Bryan,Smith,Stocker
STAFF00526,STORE006,Laura,Hansen,Sales
STAFF00527,STORE079,Elizabeth,Mcmahon,Stocker
STAFF00528,STORE030,Jackie,Horne,Sales
STAFF00529,STORE039,Regina,Schwartz,Stocker
STAFF00530,STORE032,Kevin,Ramirez,Manager
STAFF00531,STORE047,Frances,Castro,Cashier
STAFF00532,STORE038,Donna,Manning,Stocker
STAFF00533,STORE047,Michelle,Pratt,Manager
STAFF00534,STORE002,Andrea,Boyd,Manager
STAFF00535,STORE038,Jennifer,Reynolds,Cashier
STAFF00536,STORE054,Gabriela,Garcia,Stocker
STAFF00537,STORE077,Randall,Cole,Cashier
STAFF00538,STORE077,Cory,Russell,Sales
STAFF00539,STORE005,Kenneth,Walker,Sales
STAFF00540,STORE009,Alan,Crawford,Cashier
STAFF00541,STORE005,Carol,Jones,Manager
