SupplierID,SupplierName,ContactName,ContactPhone,Address,City,State,Country,ZipCode,DateCreated,DateModified,RowHash
8d4a5b0f-e2b3-46f3-ac5c-02bb9758acbd,"Rasmussen, Parker and White",Wesley Porter,(149)901-0861,7904 Matthew Orchard Apt. 806,Austinshire,Missouri,Kyrgyz Republic,87835,2022-08-09,2025-03-17,f202922f2ddd43571ad67d697ecce957
3afa8ccd-21e7-4fb8-9070-81ff7c7a4926,White-Johnson,Bailey Owen,001-372-643-2058x69972,9715 Herman Mills Apt. 277,North Darrellmouth,Maryland,Philippines,81579,2022-06-18,2025-04-01,ae6b25ecc18714c66544e3d0ec729fdb
bc572b67-d528-4074-b373-01fff697aa44,"Porter, Garrett and White",Jennifer Montoya,001-685-688-8861,597 Shelly Parkway,Downsfort,Pennsylvania,French Polynesia,28358,2023-02-06,2025-02-07,f90674e728de5b50278451adf96d70a1
e7fc9674-947c-42d1-8de5-0a9f762cc441,Hill-Stephenson,James Hernandez,(765)964-5876x6949,1553 Nash Glen Suite 024,Port Michaelmouth,New York,Chile,79211,2023-01-18,2025-01-02,e7d5ff5ee3122fdf9e8eb2d8482276d4
edbc5ad2-b988-4ec2-8df1-b3f017b20920,"Hardy, Shelton and Adkins",Emily Perez,+1-450-375-4807x805,338 Buckley Prairie,East Jennifer,Delaware,Egypt,53858,2022-12-31,2025-03-15,1709463a1060e345275ed1477787cf6e
9383f19a-ab4b-4657-b617-ae9c60c25476,Cherry-Warren,Destiny Norman,373.041.5063x2405,26583 Welch Meadows,East Patricia,Montana,Lao People's Democratic Republic,37349,2023-01-18,2025-03-24,95b5fb388dc5dd6d9ea1896506158e27
3114b2dd-8df3-4f42-98d3-7c5652ef32f7,Holt-Cuevas,Jennifer Reynolds,3327399741,209 Meyers Cliff Apt. 102,Grahamfort,Ohio,Bouvet Island (Bouvetoya),89900,2023-04-16,2025-04-26,cc47005b960b970c7e0c61fd01f43d7c
47e17369-8736-45ef-a1bc-427a275c9dd2,Wilson-Evans,Leslie Murray,001-738-330-6144,7547 Melissa Brooks,Elizabethburgh,Nebraska,Antigua and Barbuda,24844,2023-03-03,2025-04-01,3ed945be3f472987caf2fae251b1f748
ace90f05-959a-4fd2-8ad5-f77517d06d70,Barber PLC,Jeffrey Ruiz,181.292.3613x9123,4599 Choi Cove Apt. 376,Smithhaven,Wyoming,Algeria,64631,2022-12-22,2025-01-13,addef1ab57f6a2c68182b5ed8434b414
bb37b5ed-dc18-44b7-a77d-ec3a62eae616,Burton Group,Heidi Tanner,(407)078-3847x84830,8573 Spears Isle,Hannahtown,Maine,Turkey,34883,2023-01-07,2025-01-26,4ed4cec81d8e271cd73f1ed5aa46411e
a5096009-d0b6-4426-8752-a273e8e85779,Lopez-Brown,Bruce Hayes,364.316.7859x84440,930 Wendy Road Apt. 756,Port Jennifermouth,Georgia,Jamaica,81675,2023-01-09,2025-01-11,36efcdb0d4940e1c3abc85d70ddf0784
bf188d08-b606-441b-b7b1-0735c36ba58b,Paul and Sons,Thomas Johnson,(999)663-3092,6540 Anthony Ranch,Port Michaelton,Idaho,Pitcairn Islands,61175,2022-07-31,2025-02-01,3b4d5604f95e3922298df17a9e6bb375
0f081c8e-48e1-4a4e-88d6-6b1e6cd96d94,Wilson Ltd,Cindy Hansen,004-231-8206x82048,093 Regina Key,Alyssamouth,Indiana,United States Virgin Islands,68161,2022-09-28,2025-03-28,0d02a492c84d7f80f208f96f76069a32
717fcab8-9707-4595-adca-fa8a50604ff7,Greene-Dyer,Kelly Goodman,553-815-1827x238,4295 William Ferry,Michaelmouth,Utah,Italy,69689,2023-03-12,2025-04-13,32269d6d2e3f94328541abdbadb3bbb9
cb2416eb-2b7e-47f3-b19b-458a594bab51,"Cummings, Rogers and Morgan",Anthony Palmer,001-695-448-7615,488 Richards Crescent,Jillianhaven,Oregon,Burkina Faso,86275,2022-08-19,2025-02-25,7b1331cfeac86360db0a9b6c530e9bf4
6530f8be-a040-4aed-9783-8de932aa94c2,Joseph-Williams,Alyssa Cantu,(955)593-5588x10822,5477 Peck Groves Suite 925,Natashaville,Florida,Cuba,67913,2022-11-01,2025-01-29,19b5ea8e74b7f7145b41a5c3c1c0e49b
39e3f31e-86c1-4cd6-822b-bbf5e5b05672,Doyle-Burnett,Kyle Gilbert,7045594849,4166 James Port Suite 671,West Michael,Iowa,Guam,04416,2023-05-08,2025-02-02,5c03838cbffe81b49b712f521d8b3f93
be98a698-ef0b-4a46-8429-f75187e63193,Jordan-Baker,Alisha Turner,(272)765-3145,341 Escobar Route,North Matthewstad,Michigan,Micronesia,32044,2023-03-14,2025-02-26,73877cd67dda7e5b9dffe4be70e51bf7
cae5b015-3829-4a48-ba22-40234800d730,Kelly-Richmond,Heidi Graham,(168)335-7668,950 Hinton Summit,North Wesleyton,Maine,Cook Islands,10915,2022-11-11,2025-01-18,41b91138b99621836eccd3939ec3b282
32f31366-6143-4aee-9e76-b793f1d31932,Bartlett-Becker,Pamela Davis,001-979-336-8609x316,988 Lucas Burg,North Miguelside,Illinois,Nauru,10761,2022-06-17,2025-01-21,dd83af57cc8fae681b06613ddbc90176
284d0f6a-2446-4d78-9af6-8bbfe3c28a3e,Randall-Thompson,Dustin Johnson,001-333-963-7902x038,218 Allison Haven Suite 816,Reynoldsbury,West Virginia,Turkmenistan,36279,2023-04-19,2025-01-27,6b9cc961c33a22208f74a1c58a23ef1e
71a6f293-0c20-48fa-82d0-24f3ca01cdeb,"Smith, Hall and Hunt",Edward Newton,(647)426-4404x7832,663 Wheeler Run Suite 818,Wallaceport,Louisiana,New Caledonia,74750,2022-07-16,2025-03-02,a37d301aa74f7fb48b86cb6b63e5dc5f
111e16ce-1009-49e8-9792-b01200cbe1e4,Fox-Alvarado,Travis Cruz,+1-399-531-5566x423,26908 Adams Radial Suite 668,North Donnaside,Idaho,Taiwan,18733,2022-12-21,2025-01-29,22c34e2aa8097d68888cbe24f6ad6b38
f37a1345-4321-4733-b150-c6f4ef9ee640,Ortega Ltd,Sierra Taylor,(872)203-7337x8406,86748 Simpson Gardens,West Kristinmouth,Pennsylvania,Hungary,90480,2023-03-18,2025-03-05,92422eeb628f4f0bcbaa63e53606a8f6
857729ef-02d2-4f70-a144-d2e9efdb893f,"Rowe, Bates and Pearson",Rachel Watson,868.005.5126x764,436 Gabriel Camp Suite 614,Kellyview,Kentucky,Christmas Island,06046,2022-06-04,2025-02-26,8ef44a51eb477a11ea350b16ef388792
5cfea3d7-c2f2-4735-a096-29154722be12,Miller Ltd,Jessica Bryant,520-351-9198,056 Burton Freeway Apt. 585,New Christopherview,Illinois,United States Minor Outlying Islands,24831,2023-03-31,2025-02-06,7efb7713e2a7463b9f2eb5f34bc03aaa
